,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
130,San-Pédro,100,CI,1627418956,81,4.7485,-6.6363,76.05,7.29
131,Jalu,0,LY,1627418372,24,29.0331,21.5482,87.57,7.11
132,Dali,98,CN,1627418957,91,25.7,100.1833,63.3,1.66
133,Saldanha,100,ZA,1627418410,78,-33.0117,17.9442,55.45,10.85
134,Port Elizabeth,40,ZA,1627418778,94,-33.918,25.5701,59.29,18.41
135,Hofn,91,IS,1627418368,84,64.2539,-15.2082,54.25,4.34
136,Krivodanovka,92,RU,1627418958,100,55.0881,82.6551,48.29,2.24
137,Hambantota,100,LK,1627418958,78,6.1241,81.1185,80.42,18.59
138,Hong Kong,98,HK,1627418927,88,22.2855,114.1577,87.96,1.01
139,Tadine,50,NC,1627418959,59,-21.55,167.8833,69.3,14.81
140,Muriwai Beach,19,NZ,1627418959,89,-36.8167,174.45,54.86,12.17
141,Katsuura,99,JP,1627418444,86,35.1333,140.3,77.18,12.68
142,San Antonio,20,US,1627418702,41,29.4241,-98.4936,97.07,0.0
143,Isangel,20,VU,1627418427,65,-19.55,169.2667,71.55,14.47
144,Rudnogorsk,0,RU,1627418768,66,57.2639,103.7519,60.62,0.22
145,Lüderitz,0,NA,1627418455,75,-26.6481,15.1594,56.62,10.04
146,Leshukonskoye,18,RU,1627418960,98,64.8989,45.7622,39.54,5.23
147,Skjervøy,81,NO,1627418960,93,70.0311,20.9714,48.04,2.44
148,Zhigansk,10,RU,1627418427,70,66.7697,123.3711,51.75,15.14
149,Adwa,93,ET,1627418961,90,14.1646,38.8955,63.14,6.04
150,Avarua,100,CK,1627418360,61,-21.2078,-159.775,77.05,5.75
151,Nishihara,75,JP,1627418961,89,26.1842,127.7558,81.68,9.22
152,Doha,0,QA,1627418962,53,25.2867,51.5333,98.58,2.3
153,Upernavik,100,GL,1627418962,74,72.7868,-56.1549,50.29,14.0
154,Pemangkat,100,ID,1627418962,86,1.1667,108.9667,79.21,7.45
155,Flin Flon,90,CA,1627418368,53,54.7682,-101.865,75.04,6.91
156,Saint George,1,US,1627418474,36,37.1041,-113.5841,95.43,1.01
157,Port Hawkesbury,90,CA,1627418963,85,45.6169,-61.3485,74.73,8.05
158,Vao,100,NC,1627418157,57,-22.6667,167.4833,68.18,16.96
159,Vostok,97,RU,1627418386,80,46.4856,135.8833,73.54,2.3
160,Acaraú,26,BR,1627418964,75,-2.8856,-40.12,79.27,16.91
161,Coffs Harbour,4,AU,1627418964,94,-30.3,153.1333,48.13,3.44
162,Yellowknife,75,CA,1627418268,54,62.456,-114.3525,58.32,4.0
163,Mabaruma,89,GY,1627418965,79,8.2,-59.7833,81.93,5.01
164,Saskylakh,22,RU,1627418438,66,71.9167,114.0833,53.51,14.97
165,San Quintín,1,MX,1627418383,66,30.4833,-115.95,76.26,12.77
166,Tuktoyaktuk,90,CA,1627418691,81,69.4541,-133.0374,50.0,5.75
167,Rocha,12,UY,1627418965,63,-34.4833,-54.3333,43.61,17.45
168,Constitución,0,CL,1627418421,59,-35.3333,-72.4167,53.58,10.31
169,Kahului,20,US,1627418686,75,20.8947,-156.47,84.22,24.16
170,San Ramon,1,US,1627418966,29,37.7799,-121.978,96.08,3.0
171,Ilulissat,75,GL,1627418967,39,69.2167,-51.1,64.42,8.05
172,Santarém,20,BR,1627418967,66,-2.4431,-54.7083,89.73,11.5
173,Longyan,12,CN,1627418967,89,25.1072,117.0225,76.08,1.9
174,Torzhok,100,RU,1627418968,76,57.0436,34.9622,64.47,2.46
175,Jiaojiang,100,CN,1627418968,93,28.6803,121.4428,80.01,7.67
176,Isla Aguada,93,MX,1627418968,69,18.7833,-91.4667,84.85,13.27
177,Virginia Beach,75,US,1627418969,74,36.8529,-75.978,91.04,9.22
178,Labuhan,9,ID,1627418391,88,-6.8844,112.2051,73.02,5.97
179,Taltal,11,CL,1627418969,70,-25.4,-70.4833,59.74,5.66
180,Newport,99,GB,1627418707,87,51.5877,-2.9984,65.07,7.74
181,Morondava,0,MG,1627418948,56,-20.2833,44.2833,67.1,7.94
182,Nuuk,75,GL,1627418448,67,64.1835,-51.7216,56.01,17.27
183,Nhulunbuy,40,AU,1627418970,100,-12.2333,136.7667,68.61,0.0
184,Ugoofaaru,56,MV,1627418971,76,5.6667,73.0,82.42,13.67
185,Nadym,98,RU,1627418971,56,65.5333,72.5167,53.8,13.65
186,Chenzhou,10,CN,1627418971,94,25.8,113.0333,75.96,0.85
187,Ribeira Grande,20,PT,1627418972,73,38.5167,-28.7,75.6,12.66
188,Balyqshy,0,KZ,1627418972,27,47.0667,51.8667,78.8,8.95
189,Ampanihy,0,MG,1627418973,78,-24.7,44.75,60.53,14.79
190,Fuyu,99,CN,1627418973,83,45.1833,124.8167,72.45,5.73
191,Tilichiki,94,RU,1627418973,82,60.4667,166.1,52.93,11.81
192,Kadaya,26,RU,1627418974,97,50.9327,119.2911,55.87,0.47
193,Murgab,0,TM,1627418974,34,37.4966,61.9714,78.67,9.22
194,Cutro,0,IT,1627418974,58,39.0353,16.9819,79.39,2.82
195,Suntar,58,RU,1627418975,77,62.1444,117.6319,65.01,3.36
196,Sechura,14,PE,1627418975,60,-5.5569,-80.8222,77.14,15.39
197,La Paz,40,BO,1627418703,17,-16.5,-68.15,60.78,18.41
198,Zvishavane,0,ZW,1627418976,76,-20.3267,30.0665,50.36,3.38
199,Zeya,96,RU,1627418976,96,53.75,127.2667,64.09,4.21
200,Tazovsky,2,RU,1627418421,92,67.4667,78.7,40.75,9.33
201,Lodja,65,CD,1627418698,37,-3.4833,23.4333,71.56,1.5
202,Ponta do Sol,3,PT,1627418381,72,32.6667,-17.1,75.0,5.55
203,Copiapó,0,CL,1627418355,34,-27.3667,-70.3333,55.09,5.64
204,Nānākuli,1,US,1627418977,57,21.3906,-158.1547,84.15,13.8
205,Khatanga,100,RU,1627418977,58,71.9667,102.5,74.55,16.51
206,Polignano a Mare,60,IT,1627418978,52,40.9959,17.2159,88.03,6.58
207,İslahiye,0,TR,1627418978,57,37.025,36.6306,83.98,6.24
208,Nchelenge,67,ZM,1627418979,47,-9.3451,28.734,64.02,5.06
209,Norman Wells,75,CA,1627418721,55,65.282,-126.8329,66.24,5.75
210,Kassala,100,SD,1627418979,76,15.451,36.4,78.91,10.67
211,Samarai,77,PG,1627418384,87,-10.6167,150.6667,78.26,12.71
212,Plan-les-Ouates,75,CH,1627418980,68,46.1667,6.1167,72.12,5.75
213,Vila Velha,20,BR,1627418865,78,-20.3297,-40.2925,75.15,16.11
214,Riberalta,40,BO,1627418831,49,-10.9833,-66.1,95.2,9.22
215,Saint-Jérôme,75,CA,1627418980,71,45.7804,-74.0036,72.59,3.44
216,Thabazimbi,0,ZA,1627418981,44,-24.5917,27.4116,49.23,2.15
217,Mutoko,1,ZW,1627418685,80,-17.397,32.2268,49.37,7.2
218,Pacific Grove,1,US,1627418707,75,36.6177,-121.9166,95.14,1.01
219,Santa Maria,20,BR,1627418345,35,-29.6842,-53.8069,51.1,6.91
220,Haines Junction,98,CA,1627418392,67,60.7522,-137.5108,58.95,2.3
221,Springbok,0,ZA,1627418982,81,-29.6643,17.8865,43.27,2.42
222,Hoquiam,40,US,1627418983,42,46.9809,-123.8893,87.06,14.97
